,Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
1607,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Cadillac SRX Luxury AWD,Cadillac,2010 Cadillac SRX,2010,265,223
1608,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2010 Cadillac SRX Performance,Cadillac,2010 Cadillac SRX,2010,265,223
1609,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Cadillac SRX Performance AWD,Cadillac,2010 Cadillac SRX,2010,265,223
1610,132,225,118,All-wheel drive,Cadillac 2.8L 6 Cylinder 300 hp 295 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,15,Gasoline,22,Automatic transmission,2010 Cadillac SRX Performance 2.8L Turbo AWD,Cadillac,2010 Cadillac SRX,2010,300,295
1611,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2010 Cadillac SRX Premium,Cadillac,2010 Cadillac SRX,2010,265,223
1612,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Cadillac SRX Premium AWD,Cadillac,2010 Cadillac SRX,2010,265,223
1613,132,225,118,All-wheel drive,Cadillac 2.8L 6 Cylinder 300 hp 295 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,15,Gasoline,22,Automatic transmission,2010 Cadillac SRX Premium 2.8L Turbo AWD,Cadillac,2010 Cadillac SRX,2010,300,295
1614,135,23,214,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade,Cadillac,2011 Cadillac Escalade,2011,403,417
1615,135,23,214,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,14,Automatic transmission,2011 Cadillac Escalade AWD,Cadillac,2011 Cadillac Escalade,2011,403,417
1616,135,23,214,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade Luxury,Cadillac,2011 Cadillac Escalade,2011,403,417
1617,135,23,214,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,14,Automatic transmission,2011 Cadillac Escalade Luxury AWD,Cadillac,2011 Cadillac Escalade,2011,403,417
1618,135,23,214,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade Premium,Cadillac,2011 Cadillac Escalade,2011,403,417
1619,135,23,214,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,14,Automatic transmission,2011 Cadillac Escalade Premium AWD,Cadillac,2011 Cadillac Escalade,2011,403,417
1620,135,23,214,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade Platinum,Cadillac,2011 Cadillac Escalade,2011,403,417
1621,135,23,214,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Cadillac Escalade Platinum AWD,Cadillac,2011 Cadillac Escalade,2011,403,417
1622,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,16,Gasoline,20,Manual transmission,2011 Nissan Xterra Pro-4X,Nissan,2011 Nissan Xterra,2011,261,281
1623,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Nissan Xterra X,Nissan,2011 Nissan Xterra,2011,261,281
1624,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Nissan Xterra X 4x4,Nissan,2011 Nissan Xterra,2011,261,281
1625,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Nissan Xterra Pro-4X AT,Nissan,2011 Nissan Xterra,2011,261,281
1626,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Nissan Xterra S,Nissan,2011 Nissan Xterra,2011,261,281
1627,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,16,Gasoline,20,Manual transmission,2011 Nissan Xterra S 4x4,Nissan,2011 Nissan Xterra,2011,261,281
1628,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Nissan Xterra S 4x4 AT,Nissan,2011 Nissan Xterra,2011,261,281
1629,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Nissan Xterra S 4x4,Nissan,2010 Nissan Xterra,2010,261,281
1630,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Nissan Xterra SE 4x4,Nissan,2010 Nissan Xterra,2010,261,281
1631,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Nissan Xterra SE,Nissan,2010 Nissan Xterra,2010,261,281
1632,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,16,Gasoline,20,Manual transmission,2010 Nissan Xterra X,Nissan,2010 Nissan Xterra,2010,261,281
1633,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,16,Gasoline,20,Manual transmission,2010 Nissan Xterra X 4x4,Nissan,2010 Nissan Xterra,2010,261,281
1634,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Nissan Xterra X 4x4 AT,Nissan,2010 Nissan Xterra,2010,261,281
1635,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Nissan Xterra X AT,Nissan,2010 Nissan Xterra,2010,261,281
1636,110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,16,Gasoline,20,Manual transmission,2010 Nissan Xterra Off-Road,Nissan,2010 Nissan Xterra,2010,261,281
1637,110,186,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Nissan Xterra S,Nissan,2010 Nissan Xterra,2010,261,281
1638,139,242,3,Front-wheel drive,Nissan 2.5L 4 cylinder 175 hp 180 ft-lbs,True,6,6 Speed Manual,23,Gasoline,31,Manual transmission,2012 Nissan Altima Coupe 2.5 S MT,Nissan,2012 Nissan Altima Coupe,2012,175,180
1639,139,242,3,Front-wheel drive,Nissan 3.5L 6 cylinder 270hp 258 ft-lbs,True,6,6 Speed Manual,18,Gasoline,27,Manual transmission,2012 Nissan Altima Coupe 3.5 SR MT,Nissan,2012 Nissan Altima Coupe,2012,270,258
1640,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Manual,16,Gasoline,25,Manual transmission,2010 BMW 535i xDrive Sedan,BMW,2010 BMW 5 Series Sedan,2010,300,300
1641,188,245,54,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 BMW 528i Sedan AT,BMW Motorrad,2010 BMW 5 Series Sedan,2010,230,200
1642,188,245,54,Rear-wheel drive,BMW 4.8L 8 cylinder 360hp 360 ft-lbs,True,6,6 Speed Automatic Select Shift,15,Gasoline,23,Automatic transmission,2010 BMW 550i Sedan AT,BMW,2010 BMW 5 Series Sedan,2010,360,360
1643,188,245,54,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,True,6,6 Speed Manual,18,Gasoline,28,Manual transmission,2010 BMW 528i Sedan,BMW Motorrad,2010 BMW 5 Series Sedan,2010,230,200
1644,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 535i xDrive Sedan AT,BMW,2010 BMW 5 Series Sedan,2010,300,300
1645,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 528i xDrive Sedan AT,BMW Motorrad,2010 BMW 5 Series Sedan,2010,230,200
1646,188,245,54,Rear-wheel drive,BMW 4.8L 8 cylinder 360hp 360 ft-lbs,True,6,6 Speed Manual,15,Gasoline,22,Manual transmission,2010 BMW 550i Sedan,BMW,2010 BMW 5 Series Sedan,2010,360,360
1647,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,True,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2010 BMW 528i xDrive Sedan,BMW Motorrad,2010 BMW 5 Series Sedan,2010,230,200
1648,188,245,54,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2010 BMW 535i Sedan AT,BMW,2010 BMW 5 Series Sedan,2010,300,300
1649,188,245,54,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2010 BMW 535i Sedan,BMW,2010 BMW 5 Series Sedan,2010,300,300
1650,24,172,118,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,True,7,7 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2010 Mercedes-Benz ML550 4MATIC,Mercedes,2010 Mercedes-Benz M-Class,2010,382,391
1651,24,172,118,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,True,7,7 Speed Automatic Select Shift,18,Diesel fuel,25,Automatic transmission,2010 Mercedes-Benz ML350 BlueTEC,Mercedes,2010 Mercedes-Benz M-Class,2010,210,400
1652,24,172,158,All-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 503 hp 465 ft-lbs,True,7,7 Speed Automatic Select Shift,11,Gasoline,15,Automatic transmission,2010 Mercedes-Benz ML63 AMG,Mercedes-AMG,2010 Mercedes-Benz M-Class,2010,503,465
1653,24,172,118,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,True,7,7 Speed Automatic Select Shift,15,Gasoline,20,Automatic transmission,2010 Mercedes-Benz ML350 4MATIC,Mercedes,2010 Mercedes-Benz M-Class,2010,268,258
1654,24,172,118,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,True,7,7 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2010 Mercedes-Benz ML350,Mercedes,2010 Mercedes-Benz M-Class,2010,268,258
1655,24,172,118,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,True,7,7 Speed Automatic Select Shift,16,Gasoline,20,Automatic transmission,2011 Mercedes-Benz ML350,Mercedes,2011 Mercedes-Benz M-Class,2011,268,258
1656,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 535i xDrive Sedan AT,Mercedes,2010 BMW 5 Series Sedan,2011,300,300
1657,24,172,118,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,True,7,7 Speed Automatic Select Shift,18,Diesel fuel,25,Automatic transmission,2011 Mercedes-Benz ML350 BlueTEC,Mercedes,2011 Mercedes-Benz M-Class,2011,210,400
1658,200,245,54,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 528i xDrive Sedan AT,BMW Motorrad,2010 BMW 5 Series Sedan,2011,230,200
1659,24,172,118,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,True,7,7 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Mercedes-Benz ML550 4MATIC,Mercedes,2011 Mercedes-Benz M-Class,2011,382,391
1660,188,245,54,Rear-wheel drive,BMW 4.8L 8 cylinder 360hp 360 ft-lbs,True,6,6 Speed Manual,15,Gasoline,22,Manual transmission,2010 BMW 550i Sedan,BMW,2010 BMW 5 Series Sedan,2011,360,360
1661,221,222,254,Front-wheel drive,Nissan 2.5L 4 cylinder 200 hp 180 ft-lbs,True,6,6 Speed Manual,21,Gasoline,28,Manual transmission,2012 Nissan Sentra SE-R Spec V,Nissan,2012 Nissan Sentra,2012,200,180
1662,231,214,254,Front-wheel drive,Nissan 2.0L 4 cylinder 140 hp 147 ft-lbs,True,6,6 Speed Manual,24,Gasoline,31,Manual transmission,2012 Nissan Sentra 2.0,Nissan,2012 Nissan Sentra,2012,140,147
1663,254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,True,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2012 Nissan Versa Hatchback 1.8 S AT,Nissan,2012 Nissan Versa Hatchback,2012,122,127
1664,254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,True,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2012 Nissan Versa Hatchback 1.8 S,Nissan,2012 Nissan Versa Hatchback,2012,122,127
1665,229,221,191,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,24,Automatic transmission,2011 Toyota Sienna,Toyota,2011 Toyota Sienna,2011,187,186
1666,214,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna 3.5L,Toyota,2011 Toyota Sienna,2011,266,245
1667,229,221,191,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,24,Automatic transmission,2011 Toyota Sienna LE,Toyota,2011 Toyota Sienna,2011,187,186
1668,3,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna LE 3.5L,Toyota,2011 Toyota Sienna,2011,266,245
1669,19,221,191,All-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Toyota Sienna LE 3.5L AWD,Toyota,2011 Toyota Sienna,2011,266,245
1670,3,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna LE Mobility Auto Access,Toyota,2011 Toyota Sienna,2011,266,245
1671,208,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna SE,Toyota,2011 Toyota Sienna,2011,266,245
1672,3,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna XLE,Toyota,2011 Toyota Sienna,2011,266,245
1673,19,221,191,All-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Toyota Sienna XLE AWD,Toyota,2011 Toyota Sienna,2011,266,245
1674,3,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna XLE Mobility Auto Access,Toyota,2011 Toyota Sienna,2011,266,245
1675,3,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Sienna Limited,Toyota,2011 Toyota Sienna,2011,266,245
1676,19,221,191,All-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Toyota Sienna Limited AWD,Toyota,2011 Toyota Sienna,2011,266,245
1677,183,40,67,Rear-wheel drive,BMW 4.4L 8 cylinder 400 hp 450 ft-lbs Turbo,True,6,6 Speed Manual,15,Gasoline,22,Manual transmission,2011 BMW 550i Sedan,BMW,2011 BMW 5 Series Sedan,2011,400,450
1678,183,40,67,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,8,8 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2011 BMW 535i Sedan AT,BMW,2011 BMW 5 Series Sedan,2011,300,300
1679,183,40,67,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Manual,19,Gasoline,28,Manual transmission,2011 BMW 535i Sedan,BMW,2011 BMW 5 Series Sedan,2011,300,300
1680,183,40,67,Rear-wheel drive,BMW 4.4L 8 cylinder 400 hp 450 ft-lbs Turbo,True,8,8 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2011 BMW 550i Sedan AT,BMW,2011 BMW 5 Series Sedan,2011,400,450
1681,233,103,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 109 hp 107 ft-lbs,True,5,5 Speed Manual,27,Gasoline,36,Manual transmission,2012 Nissan Versa Sedan 1.6 S,Nissan,2012 Nissan Versa Sedan,2012,109,107
1682,17,230,22,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,True,7,7 Speed Automatic Select Shift,14,Gasoline,22,Automatic transmission,2011 Mercedes-Benz SL550,Mercedes,2011 Mercedes-Benz SL-Class,2011,382,391
1683,17,240,22,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,True,7,7 Speed Automatic Select Shift,12,Gasoline,19,Automatic transmission,2011 Mercedes-Benz SL63 AMG,AMG,2011 Mercedes-Benz SL-Class,2011,518,465
1684,17,240,22,Rear-wheel drive,Mercedes-AMG 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,12,Gasoline,18,Automatic transmission,2011 Mercedes-Benz SL65 AMG,Mercedes-AMG,2011 Mercedes-Benz SL-Class,2011,604,738
1685,17,6,252,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,True,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2010 Mercedes-Benz SLK300,Mercedes,2010 Mercedes-Benz SLK-Class,2010,228,221
1686,17,6,252,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 300 hp 265 ft-lbs,True,7,7 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2010 Mercedes-Benz SLK350,Mercedes-Benz,2010 Mercedes-Benz SLK-Class,2010,300,265
1687,246,6,1,Rear-wheel drive,Mercedes-AMG 5.4L 8 Cylinders 355 hp 376 ft-lbs,True,7,7 Speed Automatic Select Shift,14,Gasoline,22,Automatic transmission,2010 Mercedes-Benz SLK55 AMG,Mercedes-AMG,2010 Mercedes-Benz SLK-Class,2010,355,376
1688,17,6,252,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,True,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2011 Mercedes-Benz SLK300,Mercedes,2011 Mercedes-Benz SLK-Class,2011,228,221
1689,17,6,252,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 300 hp 265 ft-lbs,True,7,7 Speed Automatic Select Shift,19,Gasoline,25,Automatic transmission,2011 Mercedes-Benz SLK350,Mercedes-Benz,2011 Mercedes-Benz SLK-Class,2011,300,265
1690,17,6,252,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,True,7,7 Speed Automatic,19,Gasoline,26,Automatic transmission,2010 Mercedes-Benz SLK300 AT,Mercedes,2010 Mercedes-Benz SLK-Class,2010,228,221
1691,28,64,135,All-wheel drive,Lincoln 3.7L 6 Cylinder 273 hp 270 ft-lbs.,True,6,6 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2011 Lincoln MKS AWD,Lincoln,2011 Lincoln MKS,2011,273,270
1692,28,64,135,All-wheel drive,Lincoln 3.5L 6 Cylinder 355 hp 350 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2011 Lincoln MKS Ecoboost,Lincoln,2011 Lincoln MKS,2011,355,350
1693,28,64,135,Front-wheel drive,Lincoln 3.7L 6 Cylinder 273 hp 270 ft-lbs.,True,6,6 Speed Automatic Select Shift,17,Gasoline,24,Automatic transmission,2011 Lincoln MKS,Lincoln,2011 Lincoln MKS,2011,273,270
1694,28,64,135,Front-wheel drive,Lincoln 3.7L 6 Cylinder 273 hp 270 ft-lbs.,True,6,6 Speed Automatic Select Shift,17,Gasoline,24,Automatic transmission,2010 Lincoln MKS,Lincoln,2010 Lincoln MKS,2010,273,270
1695,28,64,135,All-wheel drive,Lincoln 3.5L 6 Cylinder 355 hp 350 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 Lincoln MKS Ecoboost,Lincoln,2010 Lincoln MKS,2010,355,350
1696,28,64,135,All-wheel drive,Lincoln 3.7L 6 Cylinder 273 hp 270 ft-lbs.,True,6,6 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2010 Lincoln MKS AWD,Lincoln,2010 Lincoln MKS,2010,273,270
1697,210,248,54,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2010 BMW 535i xDrive Sports Wagon AT,BMW,2010 BMW 5 Series Sports Wagon,2010,300,300
1698,210,248,54,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,True,6,6 Speed Manual,16,Gasoline,23,Manual transmission,2010 BMW 535i xDrive Sports Wagon,BMW,2010 BMW 5 Series Sports Wagon,2010,300,300
1699,17,6,252,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,True,7,7 Speed Automatic Select Shift,19,Gasoline,26,Automatic transmission,2011 Mercedes-Benz SLK300 AT,Mercedes,2011 Mercedes-Benz SLK-Class,2011,228,221
1700,175,153,138,All-wheel drive,Lincoln 3.5L 6 Cylinder 355 hp 350 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2011 Lincoln MKT Ecoboost,Lincoln,2011 Lincoln MKT,2011,355,350
1701,175,153,138,All-wheel drive,Lincoln 3.7L 6 Cylinder 268 hp 267 ft-lbs,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Lincoln MKT AWD,Lincoln,2011 Lincoln MKT,2011,268,267
1702,175,153,138,Front-wheel drive,Lincoln 3.7L 6 Cylinder 268 hp 267 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Lincoln MKT,Lincoln,2011 Lincoln MKT,2011,268,267
1703,175,153,138,Front-wheel drive,Lincoln 3.7L 6 Cylinder 268 hp 267 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Lincoln MKT,Lincoln,2010 Lincoln MKT,2010,268,267
1704,175,153,138,All-wheel drive,Lincoln 3.7L 6 Cylinder 268 hp 267 ft-lbs,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2010 Lincoln MKT AWD,Lincoln,2010 Lincoln MKT,2010,268,267
1705,175,153,138,All-wheel drive,Lincoln 3.5L 6 Cylinder 355 hp 350 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2010 Lincoln MKT Ecoboost,Lincoln,2010 Lincoln MKT,2010,355,350
1706,173,134,138,Front-wheel drive,Lincoln 3.7L 6 Cylinder 305 hp 280 ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,26,Automatic transmission,2011 Lincoln MKX,Lincoln,2011 Lincoln MKX,2011,305,280
1707,173,134,138,All-wheel drive,Lincoln 3.7L 6 Cylinder 305 hp 280 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Lincoln MKX AWD,Lincoln,2011 Lincoln MKX,2011,305,280
1708,178,129,133,All-wheel drive,Lincoln 3.5L 6 Cylinder 265 hp 250 ft-lbs,True,6,6 Speed Automatic,17,Gasoline,23,Automatic transmission,2010 Lincoln MKX AWD,Lincoln,2010 Lincoln MKX,2010,265,250
1709,178,129,133,Front-wheel drive,Lincoln 3.5L 6 Cylinder 265 hp 250 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2010 Lincoln MKX,Lincoln,2010 Lincoln MKX,2010,265,250
1710,135,23,214,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,2010 Cadillac Escalade,Cadillac,2010 Cadillac Escalade,2010,403,417
1711,135,23,214,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2010 Cadillac Escalade AWD,Cadillac,2010 Cadillac Escalade,2010,403,417
